"","company","time","title","job_title","job_location","recommends_rating","outlook_rating","ceo_rating","experience","pros","cons","advice_to_management"
"1","Target","","""Four wonderful years.""","Former Employee - Guest Service Team Lead","Los Angeles, CA","Recommends","Positive Outlook","Approves of CEO","I worked at Target full-time (More than 3 years)","Going in at twenty I didn’t expect to work at Target for an extended period of time. What followed were the four best years of my professional career. You not only get to work with a wonderful team, but you get the chance to prove yourself. A lot of promotions are done in-house.","There is only one true con that I can think of, and that is none other than the terrible red and khaki color combination.","Don’t forget to take care of your team."
"2","Target","2018-04-17","""Coworkers are friendly and understanding, but customers (or guests under Target lingo) can be draining.""","Current Employee - Anonymous Employee","","NA","NA","NA","","They are LGBT+ affirming. They offer 10% team member discount and other benefits if you qualify. Target cafe is also thereo","High expectations to achieve goals with limited time. Certain customers will try and break you down to get what they want. Limited equipment makes it more difficult to assist customers.","We're still human."
"3","Target","2018-04-16","""good""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Target full-time","great management and people , fun to work with","busy , lunch or dinner breaks , management and scheduling and trading","none"
"4","Target","2018-04-16","""Hardlines Team Member""","Current Employee - Hardlines Team Member","Pittsburgh, PA","Recommends","Positive Outlook","No opinion of CEO","I have been working at Target part-time (More than 3 years)","- Flexible Hours- Ability to request days off- Friendly Environment","- Constantly working closing hours- PTO accumulates slowly as a part time (30hrs/wk)- If you are a better worker, more things are expected with same pay.",""
"5","Target","2018-04-16","""Great team but tons of labor""","Current Employee - Hardlines Team Member","","Recommends","Neutral Outlook","No opinion of CEO","I have been working at Target part-time (Less than a year)","Team members are always nice and friendly, management cares about the status of team members","Can get extremely busy with many tasks to handle at once with very little time.","Understand that sometimes we are unable to complete 4 tasks at once before our shift ends."
"6","Target","2018-04-16","""They expect more and pay less""","Former Employee - Senior Team LEader","Montgomery, AL","NA","NA","NA","I worked at Target full-time (More than 5 years)","Friendly co-workers and employee discount","High expectations and low pay","Pay more"
"7","Target","2018-04-16","""Work when you need it""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","No opinion of CEO","I worked at Target full-time","Plenty of hours when you need them.","The pay is not enough to live on",""
"8","Target","2018-04-16","""customer service""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Target full-time","great environment to learn customer service","hours, managers, and staff acknowledgement",""
"9","Target","2018-04-16","""Target has really great team members to work with. Co works become your second family.""","Former Employee - Anonymous Employee","","Recommends","Neutral Outlook","No opinion of CEO","","Over all working at Target was a great experience. Great environment to work in, Every one works as a team, Management is also very kind and always willing to help with the smaller task.","The only con I would have to say is rude customers but it comes with the job you learn to breathe and keep moving about your day.",""
"10","Target","2018-04-16","""Overworked and underappreciated""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","NA","I worked at Target full-time","Good pay3 or 4 day work weeksConvenient location","They do not appreciate their workers: they are treated like the Amazon Warehouse workers, to a lesser extent.Rather than deal with troublesome employees individually, every employee has to deal with overbearing policies set in place in response to one or two troublemakersWorking with HR to deal with medical issues is a nightmareSupervisors know how to talk like they want to help you without actually doing anything to help you",""
"11","University of Minnesota","2018-04-13","""Athletics Department""","Former Employee - Anonymous Employee","Minneapolis, MN","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at University of Minnesota full-time (More than 3 years)","There's a lot of team work in the Athletics Department, and the people you work with are for the most part really great. Health insurance is fantastic.","There is no upward mobility, the management either has very little clue how unhappy the staff is or doesn't care. You will make significantly less than you would working for a private company or even elsewhere on campus.","Listen to what your employees are saying and actually address it. You can't expect staff to work themselves into the ground and get paid less than market value, especially when you are all making well into six figures."
"12","University of Minnesota","2018-04-12","""Need to find a way to move things along faster...""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at University of Minnesota full-time","Amazing benefits, great atmosphere, so much learning.","In some departments, specifically in Administration and OHR, nothing gets done. Projects take YEARS to roll out. Collaboration is and should be valued, but at some point, action is needed.","Stop the aversion to letting contract people go. If objectives are not being met, end contracts."
"13","University of Minnesota","2018-04-09","""Teaching Assistant""","Former Employee - Teaching Assistant","Minneapolis, MN","Recommends","Neutral Outlook","No opinion of CEO","I worked at University of Minnesota part-time (More than 3 years)","fun and nice recs and also get close to profs","hate kids and it can get tiring","goes well"
"14","University of Minnesota","2018-04-09","""Good education but hard cold winters""","Current Employee - Graduate Research Assistant","Minneapolis, MN","Doesn't Recommend","Approves of CEO","NA","I have been working at University of Minnesota full-time (More than a year)","-Good graduate program for chemical engineering-Affordable living","-very cold winter-hard to adapt if you're not from the Midwest",""
"15","University of Minnesota","2018-04-05","""Teaching Assistant""","Former Employee - Anonymous Employee","Minneapolis, MN","Recommends","Positive Outlook","Approves of CEO","I worked at University of Minnesota part-time (Less than a year)","Wonderful opportunity for part-time income. Very simple tasks for one who is seasoned in the subject matter.","Work is completed faster than normal resulting in less hours worked.",""
"16","University of Minnesota","2018-04-02","""Overall Good Research Opportunities Available""","Current Employee - Anonymous Employee","","NA","NA","NA","","Many different options and opportunities available for research","Pay as a student researcher could be higher",""
"17","University of Minnesota","2018-04-02","""Research Assistant""","Current Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I have been working at University of Minnesota part-time","Interesting community of diverse interests; Varied specialists in many fields; potential for collaboration extends along diverse networks.","Bureaucracy is large and slow moving; pay not particularly competitive; high demands, low pay make this a fair place to work; more administrative support (financial) would be helpful in producing better work.","More administrative support (financial, administrative) would be helpful in producing better work. The potential of diverse networks between different schools could make for really rich collaborations between specialists. The University role as a land-grant institution necessitates more critical engagement with city."
"18","University of Minnesota","2018-04-02","""Student Lab Assistant""","Former Employee - Student Lab Assistant","","Recommends","No opinion of CEO","NA","I worked at University of Minnesota part-time (More than 3 years)","Great learning experience working with many diverse students and sometimes a fast-paced environment to keep up with the large number of students.","Personal connection with students and some co-workers lost because of the large number of students.",""
"19","University of Minnesota","2018-03-30","""Postdoctoral Fellowship""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at University of Minnesota full-time","I've been at UofM for about 10 years now. I have enjoyed my experiences here but it's time to move on.","Sometimes it can be complicated to navigate a big institution like a university.",""
"20","University of Minnesota","2018-03-30","""Great Insurance.""","Current Employee - Anonymous Employee","","NA","NA","NA","","Excellent health insurance. Large university. Lots of resources.","Poor pay. Balance of work and pay can be off. Administration not known for being responsive.",""
"21","UnitedHealth Group","","""A place where talented individuals thrive and are pushed for further growth and advancement""","Current Employee - Financial Underwriter","Minnetonka, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at UnitedHealth Group full-time (Less than a year)","Professionalism amongst peersBeautiful work atmosphere and environmentFeeling that the work you do is making a differenceDriven people are rewarded and recognizedAmple room for growth and career developmentLearning opportunitiesHuge company with tons of different business areasUnbelievable benefitsHigh compensation","Long interview process—but makes sense as they are looking for certain peopleLots of change—great for those who can handle it and like change",""
"22","UnitedHealth Group","2018-04-17","""Market Leader""","Current Employee - Senior Accountant","Hartford, CT","Recommends","Positive Outlook","Approves of CEO","I have been working at UnitedHealth Group full-time (More than 5 years)","Employees can have confidence in the direction and success of the company. UHG is well positioned to sustain market leadership in healthcare for the foreseeable future.","While there are many opportunities within the organization, there is not a concerted effort in employee development. However, culture change is evident, and this may change.","continue to improve on employee engagement. UHG’s values are what set it apart in the industry. The increased access to culture training and senior leadership messaging has been noticed and appreciated."
"23","UnitedHealth Group","2018-04-14","""The trainer was highly impersonal and rude and the culture is very non- welcoming and unhelpful.""","Former Employee - Customer Service Advocate","Davenport, IA","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at UnitedHealth Group full-time (Less than a year)","PTO is good, schedules are okay and the pay is adequate for someone just starting their career.","The culture there is so bad you're constantly being threatened with your job. Asking for help is highly frowned upon and you will end up getting thrown under the bus so its not worth it anyway.","I have no advice other than good luck with your career. Definitely not for me."
"24","UnitedHealth Group","2018-04-12","""Positive Experience""","Current Employee - Claims Operations Manager","Austin, TX","Recommends","Positive Outlook","Approves of CEO","I have been working at UnitedHealth Group full-time (More than 3 years)","Great team and great internal partners. Positive support from upper management. Challenging work environment.","Health Benefits could be stronger.",""
"25","UnitedHealth Group","2018-04-12","""Too much Politics and Favoritism""","Current Employee - App Developer","Noida (India)","Doesn't Recommend","Negative Outlook","Approves of CEO","I have been working at UnitedHealth Group full-time (More than 3 years)","Work From Home Facility, Work Life Balance, Easy to avail leaves","Management, Incentive, Hikes, Variables, Politics","Nothing.... It sucks .. Even after each year's vital sign review, management is not ready to change !"
"26","UnitedHealth Group","2018-04-11","""I am having a great experience learning and growing on a daily basis with the many opportunities available.""","Current Employee - Senior Provider Data Analyst","Jacksonville, FL","Recommends","Positive Outlook","Approves of CEO","I have been working at UnitedHealth Group full-time (More than a year)","Great opportunities. Stock options. Good benefits. It is also great working with the recruiters for Talent Acquisition. The onboarding process is also very refreshing.","Training processes for all new hires regardless of job level are missing. I believe there are opportunities to improve more structured training practices to better help improve the success and moral of all new hires.",""
"27","UnitedHealth Group","2018-04-11","""Review""","Current Employee - Test Engineer","Hyderabad (India)","Doesn't Recommend","Approves of CEO","NA","I have been working at UnitedHealth Group full-time (More than a year)","It use to be good earlier as it is product based company","Now it got turned to service based which affected our lives",""
"28","UnitedHealth Group","2018-04-10","""Outpatient Telephonic RN case Manager""","Current Employee - TELEPHONIC RN CASE MANAGER","Deltona, FL","Neutral Outlook","Approves of CEO","NA","I have been working at UnitedHealth Group full-time (More than 3 years)","Always trying to improve documentation. Providing ongoing field education. Provides all equipment needed to do your job.Leadership is fairly new they are not polished and they are not tactful or polite","Poor Leadership current leadership is new they have created a hostile work office. Them against us. They are not respectful or nurturing, they operate as bullies and the have no respect for their upper management and openly mock them","Invest in Leadership by enriching them with ongoing leadership training . They are not professional or respectful at present or when talking about the organization upper management or the employees"
"29","UnitedHealth Group","2018-04-09","""I would not recommend working there.""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","NA","I worked at UnitedHealth Group full-time","Experienced and knowledgable people that are actually doing the work.","I've worked on a large development team and the team was folded because the project was too ambitious. Some backstabbing from co-workers and some managers are ruthless--not a friendly environment.The company is huge and it's very hard to find people you'll need to work with that are outside your team. You're on your own.Team managers are overworked and are doing so many things they don't have time to work with individual team members, so you have to figure out who else you can get direction or information from to do your job. For this reason, managers are out of touch with workers and therefore don't know who's doing what on a team.","Can't think of any advice that is feasible in this environment."
"30","UnitedHealth Group","2018-04-09","""Analyst""","Former Employee - Financial Analyst","Minneapolis, MN","Recommends","Positive Outlook","Approves of CEO","I worked at UnitedHealth Group full-time","I loved the team I was working on","The on boarding process was slow",""
